cocktail,canonical,build_method,build_confidence,glass_type,glass_confidence,ice_format,ice_confidence,aeration,aer_confidence
"Royal Fizz","royal fizz",shake,high,highball,high,tall,medium,medium,high
"Rum Cooler","rum cooler",stir,high,highball,high,rocks,high,low,high
"Rum Runner","rum runner",shake,medium,coupe,high,up,medium,medium,high
"Rusty Nail","rusty nail",stir,high,rocks,high,rocks,high,low,high
"Red Snapper","red snapper",shake,high,rocks,high,rocks,medium,medium,high
"Royal Bitch","royal bitch",stir,medium,,unknown,,unknown,low,high
"Royal Flush","royal flush",stir,medium,rocks,high,rocks,high,low,high
"Rum Cobbler","rum cobbler",stir,high,rocks,high,crushed,high,low,high
"Ruby Tuesday","ruby tuesday",stir,high,highball,high,rocks,high,low,high
"Rosemary Blue","rosemary blue",build,medium,,unknown,,unknown,low,medium
"Royal Gin Fizz","royal gin fizz",shake,high,highball,high,tall,medium,medium,high
"Rum Milk Punch","rum milk punch",shake,high,highball,high,tall,medium,medium,high
"Raspberry Julep","raspberry julep",stir,high,,unknown,crushed,high,low,high
"Rum Screwdriver","rum screwdriver",stir,high,highball,high,rocks,high,low,high
"Raspberry Cooler","raspberry cooler",stir,high,highball,high,rocks,high,low,high
"Rum Old-fashioned","rum old-fashioned",stir,high,rocks,high,rocks,medium,low,high
"Russian Spring Punch","russian spring punch",shake,medium,highball,high,tall,medium,medium,high
"Radioactive Long Island Iced Tea","radioactive long island iced tea",build,medium,highball,high,rocks,high,low,medium
"Smut","smut",throw,high,mug,high,rocks,medium,high,high
"Spritz","spritz",build,high,rocks,high,rocks,high,low,medium
"Scooter","scooter",shake,high,coupe,high,up,medium,high,high
"Sangria","sangria",shake,medium,wine,medium,,unknown,medium,high
"Snowday","snowday",stir,high,highball,high,tall,medium,low,high
"Spice 75","spice 75",shake,high,wine,high,,unknown,medium,high
"Snowball","snowball",shake,medium,highball,high,tall,medium,medium,high
"Salty Dog","salty dog",stir,high,highball,high,rocks,high,low,high
"Stone Sour","stone sour",shake,high,,unknown,,unknown,medium,high
"Sea breeze","sea breeze",build,high,highball,high,rocks,high,low,medium
"Scotch Sour","scotch sour",shake,high,,unknown,,unknown,medium,high
"Sweet Tooth","sweet tooth",stir,medium,highball,high,tall,medium,low,high
"Sherry Flip","sherry flip",shake,high,coupe,high,up,medium,high,high
"Sol Y Sombra","sol y sombra",shake,high,,unknown,,unknown,medium,high
"Shark Attack","shark attack",,unknown,,unknown,crushed,high,,unknown
"San Francisco","san francisco",shake,medium,highball,high,tall,medium,medium,high
"Space Odyssey","space odyssey",shake,medium,highball,high,rocks,high,medium,high
"Sherry Eggnog","sherry eggnog",shake,high,highball,high,tall,medium,medium,high
"Sweet Sangria","sweet sangria",shake,medium,wine,medium,,unknown,medium,high
"Thriller","thriller",shake,high,coupe,high,rocks,high,medium,high
"The Galah","the galah",shake,medium,highball,high,tall,medium,medium,high
"Tia-Maria","tia-maria",,unknown,highball,high,tall,medium,,unknown
"Tipperary","tipperary",stir,high,coupe,high,up,high,low,high
"Turkeyball","turkeyball",shake,high,,unknown,,unknown,medium,high
"Texas Sling","texas sling",blend,high,wine,high,,unknown,high,high
"Tom Collins","tom collins",shake,high,highball,high,rocks,high,medium,high
"Talos Coffee","talos coffee",stir,medium,,unknown,,unknown,low,high
"Tennesee Mud","tennesee mud",shake,medium,mug,high,rocks,medium,high,high
"Tequila Fizz","tequila fizz",shake,high,highball,high,rocks,high,high,high
"Tequila Sour","tequila sour",shake,high,,unknown,,unknown,medium,high
"The Last Word","the last word",shake,high,coupe,high,up,medium,medium,high
"Turf Cocktail","turf cocktail",stir,high,coupe,high,up,medium,low,high
"The Laverstoke","the laverstoke",stir,high,,unknown,,unknown,low,high
"Tequila Slammer","tequila slammer",,unknown,hurricane,high,crushed,medium,,unknown
"The Philosopher","the philosopher",shake,high,,unknown,,unknown,medium,high
"Tuxedo Cocktail","tuxedo cocktail",stir,high,coupe,high,up,medium,low,high
"Tequila Surprise","tequila surprise",,unknown,,unknown,,unknown,,unknown
"The Jimmy Conway","the jimmy conway",stir,medium,,unknown,rocks,high,low,high
"Texas Rattlesnake","texas rattlesnake",shake,high,highball,high,tall,medium,medium,high
"Victor","victor",shake,high,coupe,high,up,medium,medium,high
"Vampiro","vampiro",blend,high,rocks,high,rocks,high,high,high
"Vesuvio","vesuvio",shake,high,rocks,high,rocks,high,high,high
"Veteran","veteran",stir,high,rocks,high,rocks,high,low,high
"Van Vleet","van vleet",shake,high,rocks,high,rocks,high,medium,high
"Vodka Fizz","vodka fizz",blend,high,wine,high,,unknown,high,high
"Vodka Lemon","vodka lemon",shake,medium,highball,high,tall,medium,medium,high
"Vodka Slime","vodka slime",shake,medium,highball,high,rocks,high,medium,high
"Vodka Tonic","vodka tonic",build,medium,highball,high,tall,medium,low,medium
"Vodka Martini","vodka martini",shake,high,coupe,high,up,medium,medium,high
"Vodka Russian","vodka russian",,unknown,highball,high,tall,medium,,unknown
"Vermouth Cassis","vermouth cassis",stir,high,highball,high,tall,medium,low,high
"Victory Collins","victory collins",shake,high,highball,high,rocks,high,medium,high
"Vodka And Tonic","vodka and tonic",stir,high,highball,high,rocks,high,low,high
"Valencia Cocktail","valencia cocktail",shake,high,coupe,high,up,medium,medium,high
"Whisky Mac","whisky mac",stir,medium,highball,high,tall,medium,low,high
"White Lady","white lady",shake,high,coupe,high,rocks,high,medium,high
"Wine Punch","wine punch",shake,medium,highball,high,block,high,medium,high
"Winter Rita","winter rita",shake,high,highball,high,tall,medium,medium,high
"Winter Paloma","winter paloma",blend,high,highball,high,tall,medium,high,high
"White Wine Sangria","white wine sangria",shake,medium,wine,medium,,unknown,medium,high
"Whitecap Margarita","whitecap margarita",blend,high,coupe,high,up,medium,high,high
"Waikiki Beachcomber","waikiki beachcomber",shake,high,coupe,high,up,medium,medium,high
"Yellow Bird","yellow bird",shake,high,coupe,high,up,high,medium,high
"Zorro","zorro",shake,medium,mug,high,rocks,medium,high,high
"Zinger","zinger",stir,medium,highball,high,tall,medium,low,high
"Zoksel","zoksel",shake,medium,,unknown,,unknown,medium,high
"Zombie","zombie",blend,high,hurricane,high,crushed,medium,high,high
"Zambeer","zambeer",stir,high,highball,high,tall,medium,low,high
"Zenmeister","zenmeister",stir,medium,highball,high,tall,medium,low,high
"Zipperhead","zipperhead",build,medium,rocks,medium,rocks,medium,low,medium
"Zima Blaster","zima blaster",stir,medium,hurricane,high,rocks,high,low,high
"Zizi Coin-coin","zizi coin-coin",stir,high,coupe,high,up,medium,low,high
"Zimadori Zinger","zimadori zinger",stir,high,highball,high,rocks,high,low,high
"Zippy's Revenge","zippys revenge",shake,high,rocks,high,rocks,medium,medium,high
"Ziemes Martini Apfelsaft","ziemes martini apfelsaft",stir,medium,highball,high,up,high,low,high
"Angel Face","angel face",shake,high,coupe,high,up,high,medium,high
"Between the Sheets","between the sheets",shake,high,coupe,high,up,high,medium,high
"Brandy Crusta","brandy crusta",stir,high,coupe,high,up,high,low,high
"Hanky Panky","hanky panky",stir,high,coupe,high,up,high,low,high
"Last Word","last word",shake,high,coupe,high,up,high,medium,high
"Remember the Maine","remember the maine",stir,high,coupe,high,up,high,low,high
"Tuxedo","tuxedo",stir,high,coupe,high,up,medium,low,high
"Vieux Carré","vieux carr",stir,high,coupe,high,up,high,low,high
"Black Russian","black russian",build,high,rocks,high,rocks,high,low,medium
"Bloody Mary","bloody mary",stir,high,highball,high,tall,medium,low,high
"Cardinale","cardinale",build,high,rocks,high,rocks,high,low,medium
